question,category
"In the definition of ‘commercial operation’ published in Art. 2 of Regulation (EU) 965/2012 (introduced by the amending Reg. (EU) 2018/1975), what is the meaning of the term “control”?",Definitions
Would there be a restriction that requires baby bassinets to be removed and stowed during in-flight turbulent weather conditions? Where is it documented?,Definitions
  What are the essential requirements?,Definitions
"What do 'grandfathering', 'transition measure' and 'opt-out' mean?",Definitions
What is the difference between 'entry into force' and 'date of applicability' in the Cover Regulations?,Definitions
When will the new rules on air operations be applicable?,Definitions
What is the comitology procedure?,Definitions
"What is the status of 'Implementing Rules', 'Acceptable Means of Compliance' (AMC), ‘Certification Specifications’ (CS), Alternative Means of Compliance (AltMOC), 'Guidance Material' (GM), ‘Special Conditions’ and 'Frequently Asked Questions'(FAQ) ",Definitions
Does Reg. (EU) No 965/2012 on air operations also apply to non- commercial operations?,Definitions
"How can I find out where a rule from EU-OPS / JAR-OPS 3 has been transposed in the new Regulation (EU) 965/2012 on Air Operations and its amendments, as well as its associated EASA Decisions, and if any changes have been introduced?",Definitions
Which operational requirements (EU/EASA Parts) apply to flight activities carried out by an aircraft designer or aircraft manufacturer? ,Definitions
Where can I find a list of alternative means of compliance that have been adopted by operators and NAAs in the EU? ,Definitions
What are critical phases of flight?,Definitions
What are 'Sterile Flight Deck Procedures'?,Definitions
What is the difference between 'commercial operation' and 'commercial air transport (CAT) operation'?,Definitions
AMC2 ARO.GEN.305(c) Oversight programme (c) stipulates that audits should include at least one on-site audit within each oversight planning cycle. What is meant by an 'on-site audit' in this sentence? ,Part-ARO
Must the competent authority check and approve the content of the operator's Safety Management Manual?,Part-ARO
How do the provisions on code-sharing articulate with the Regulation applying to Third Country Operators (Part TCO)? ,Definitions
ORO.GEN.110 (a): “The operator is responsible for the operation of the aircraft in accordance with Annex IV to Regulation (EC) No 216/2008”. Is this requirement met when an Operator follows the Implementing Rules (965/2012)?,Part-ORO
What are the responsibilities of the AOC holder required to implement a management system in accordance with ORO.GEN.200 in regards to continuing airworthiness management and contracted maintenance? ,Part-ORO
Is there a difference between safety risk management (SRM) and SMS?,Part-ORO
"Why do the EASA Air Operations rules use the term ‘management system’ (ORO.GEN.200) and not ‘safety management system’ (SMS), like in ICAO Annex 19? Is there a difference between the two concepts?",Part-ORO
"If an operator is considered complex , may a person hold the position as a Safety Manager and at the same time be one (or more) of the nominated persons as described in ORO.GEN.210(b), taken into account the size and complexity of the operator? ",Part-ORO
"I am looking for the acceptance of post holders, particularly the Safety manager. In the AMC we agreed on the functions of the Safety manager, but did we agree on his or her acceptance?",Part-ORO
"Regarding ORO.GEN.200, could a commercial operator of complex motor powered aircraft, such as the Cessna Citation Bravo that operates within Europe and with no SPAs, be considered non-complex? ",Part-ORO
How should an operator use external material in relation with its operations manual (OM)? ,Part-ORO
"Applicability of FTL requirements of Regulation (EU) No 965/2012: Why should we comply with the FTL requirements of Regulation (EU) No 965/2012, since we have a policy in our company that says otherwise?",Part-ORO
"What is the meaning of ""applicable national flight time limitation legislation"" in Article 8 (4) of Regulation 965/2012?",Part-ORO
"Collective Labour Agreements (CLA) - Regulation (EU) No 83/2014: Our company has a Collective Labour Agreement (CLA) and an approved IFTSS. Both contain rules about FPD’s, DP’s and rostering. Which one is leading? ",Part-ORO
Applicability of Subpart FTL (see also ORO.AOC.125): Does Subpart FTL apply in relation to non-revenue flights (ferry flights)?,Part-ORO
Acclimatisation ORO.FTL.105(1): How should we determine the state of crew member acclimatisation in complex rotations?,Part-ORO
Accommodation ORO.FTL.105 (3): Can the airport crew lounge be considered as “accommodation” for the purpose of standby or split duty? Can a hotel room for several crew members of the same gender be considered as “accommodation” for the purpose of,Part-ORO
Disruptive schedule ORO.FTL.105(8): Which criteria should be applied to determine a duty as disruptive if there is a time zone difference between the reporting point and the place where the duty finishes?,Part-ORO
"Definition of duty and duty period, ORO.FTL.105 (10), ORO FTL 105 (11): Must the time for self-preparation (e.g. preparing for the checks associated with initial or recurrent training) be entered in the schedule of the crew members and recorded?",Part-ORO
Single day free of duty ORO FTL 105 (23): A ‘single day free of duty’ consists of one day and two local nights. Does the last day of several consecutive days free of duty need to contain at least one day and two nights?,Part-ORO
"Sector ORO.FTL.105 (24), (see also ORO.FTL.205 (f)(6)): In an abnormal or emergency situation a take-off might not be executed meaning that a sector was not completed. Such situation is likely to increase flight crew workload and fatigue. How could this b",Part-ORO
Changes to a published roster: Is it possible to make changes to a published roster?,Part-ORO
Change of FDP after reporting: Can a rostered FDP be changed (re- planned) after crew members have reported?,Part-ORO
"Roster publication, (see also AMC1 ORO.FTL.110(a) and ORO.GEN.120): Are airline operators allowed to publish monthly rosters in less than 14 days in advance?",Part-ORO
"Reporting times ORO.FTL.110(c), (see also ORO.FTL.205(c)): Can the pre- flight reporting time for non-augmented flight crew members reporting for the same FDP be different?",Part-ORO
Operational robustness ORO.FTL.110(j): How should operational robustness be assessed?,Part-ORO
Flying activities outside an AOC (see also ORO.FC.100): How will activities as an instructor or an examiner performed by an operating crew member in their free time be considered for the purpose of duty time and rest periods?,Part-ORO
Deviation from the applicable CS ORO.FTL.125 (c) (see also ARO.OPS.235): What does a deviation from the applicable CS mean or derogation from an implementing rule?,Part-ORO
"The flight time specification schemes of an individual operator (IFTSS) may differ from the applicable CS / IRs under strict conditions.The operator has a number of steps to follow before implementing a deviation/derogation.Additionally, the competent authority has a number of steps to follow before approving a deviating/derogating IFTSS.All the steps are described in this Evaluation Form (link) developed by EASA to facilitate NAAs and operators in this process.",Part-ORO
"Approval of Individual Flight Time Specification Schemes (IFTSS), (see also ARO.OPS.235):",Part-ORO
"Unknown state of acclimatisation GM1 ORO.FTL.205(b)(1): If the crew member is in an unknown state of acclimatisation, what is the reference time?",Part-ORO
Unknown state of acclimatisation ORO.FTL.205(b)(3): What are the daily FDP limits when crew members are in an unknown state of acclimatisation under fatigue risk management (FRM)?,Part-ORO
Mixing FDPs extended without in-flight rest and FDP’s extended due to in- flight rest ORO.FTL.205 (d) ORO.FTL.205 (e): Is it possible to roster two extended FDPs without in-flight rest and one extended FDP with in-flight rest in 7 consecutive days?,Part-ORO
Planned FDP extensions ORO.FTL.205(d): Must planned extensions be included in the operator’s roster?,Part-ORO
"Planned FDP extensions ORO.FTL.205(d) (see also ORO.FTL.105(1)): Can a crew member acclimatised to the local time of the departure time zone (‘B’ state), but not acclimatised to the local time where he/she starts the next duty (‘D’ state), be ass",Part-ORO
Commander’s discretion ORO.FTL.205(f): Do we need to use Commander’s discretion if actual FDP is going to last more than planned but less than the maximum daily FDP allowed?,Part-ORO
Commander’s discretion ORO.FTL.205(f): When should commander’s discretion be used?,Part-ORO
"Commander’s discretion ORO.FTL.205(f), (see also ORO.FTL.205 (d)): 1. What is the maximum FDP extension allowed under commander’s discretion? 2. How would commander’s discretion apply when the FDP of a non-augmented crew has already been extended i",Part-ORO
"Commander’s discretion ORO.FTL.205(f): Referring to commander’s discretion, do I need to consider the reporting time and number of sectors?",Part-ORO
Conversion/line checks Post flight duty ORO.FTL.210: How should briefings and debriefings during conversion/line checks be accounted for?,Part-ORO
Post-flight duty AMC1 ORO.FTL.210(c): What should the operator do if the actual post flight duty time is longer than the established time in the OM?,Part-ORO
